##数据格式为:
##数据位置
##震相,相对时间（秒）,置信度,绝对时间（格式%Y-%m-%d %H:%M:%S.%f）,信噪比,前后200个采样点振幅均值,台站,初动,初动概率
#/Users/yuziye/Documents/GitHub/sage/pnsn/data/0521-0522foryangbi/YN.YSW03.00
Pg,165555.910,0.779,2021-05-22 21:59:15.915000,3.583,111.282763,YN.YSW03.00,N,0.000
Pg,157075.760,0.779,2021-05-22 19:37:55.765000,61.675,1447.557489,YN.YSW03.00,N,0.000
Pg,151718.970,0.778,2021-05-22 18:08:38.975000,5.301,171.964422,YN.YSW03.00,N,0.000
Pg,63382.030,0.776,2021-05-21 17:36:22.035000,332.795,54625.271954,YN.YSW03.00,N,0.000
Pg,57302.970,0.773,2021-05-21 15:55:02.975000,9.744,690.491079,YN.YSW03.00,N,0.000
Pg,135001.620,0.773,2021-05-22 13:30:01.625000,5.151,136.196081,YN.YSW03.00,N,0.000
Pg,144827.060,0.772,2021-05-22 16:13:47.065000,3.704,93.599059,YN.YSW03.00,N,0.000
Pg,171876.640,0.771,2021-05-22 23:44:36.645000,3.257,147.428896,YN.YSW03.00,N,0.000
Pg,146948.420,0.771,2021-05-22 16:49:08.425000,3.539,155.299868,YN.YSW03.00,N,0.000
Pg,74702.380,0.771,2021-05-21 20:45:02.385000,2.556,142.560630,YN.YSW03.00,N,0.000
Pg,48418.340,0.770,2021-05-21 13:26:58.345000,10.348,3769.993614,YN.YSW03.00,N,0.000
Pg,156877.020,0.770,2021-05-22 19:34:37.025000,2.579,44.384193,YN.YSW03.00,N,0.000
Pg,130879.880,0.768,2021-05-22 12:21:19.885000,55.438,5766.463887,YN.YSW03.00,N,0.000
Pg,35004.180,0.767,2021-05-21 09:43:24.185000,1.315,55.032833,YN.YSW03.00,N,0.000
Pg,156146.110,0.766,2021-05-22 19:22:26.115000,2.952,76.742895,YN.YSW03.00,N,0.000
Pg,145646.920,0.766,2021-05-22 16:27:26.925000,9.872,186.889065,YN.YSW03.00,N,0.000
Pg,77818.160,0.766,2021-05-21 21:36:58.165000,7.391,160.038142,YN.YSW03.00,N,0.000
Pg,80965.100,0.766,2021-05-21 22:29:25.105000,3.664,200.221949,YN.YSW03.00,N,0.000
Pg,163519.940,0.763,2021-05-22 21:25:19.945000,9.936,161.445974,YN.YSW03.00,N,0.000
Pg,40864.340,0.762,2021-05-21 11:21:04.345000,1.820,73.199606,YN.YSW03.00,N,0.000
Pg,157910.780,0.762,2021-05-22 19:51:50.785000,3.999,64.591909,YN.YSW03.00,N,0.000
Pg,100710.220,0.760,2021-05-22 03:58:30.225000,14.226,1331.444273,YN.YSW03.00,N,0.000
Pg,52586.650,0.758,2021-05-21 14:36:26.655000,3.021,841.904978,YN.YSW03.00,N,0.000
Pg,74849.670,0.758,2021-05-21 20:47:29.675000,76.997,4654.377316,YN.YSW03.00,N,0.000
Pg,113970.280,0.758,2021-05-22 07:39:30.285000,24.051,1014.495736,YN.YSW03.00,N,0.000
Pg,126252.140,0.756,2021-05-22 11:04:12.145000,13.363,800.839798,YN.YSW03.00,N,0.000
Pg,144609.050,0.755,2021-05-22 16:10:09.055000,5.017,81.059621,YN.YSW03.00,N,0.000
Pg,133853.580,0.755,2021-05-22 13:10:53.585000,8.313,188.253271,YN.YSW03.00,N,0.000
Pg,160745.210,0.752,2021-05-22 20:39:05.215000,55.661,1827.979591,YN.YSW03.00,N,0.000
